UID,교회명,국가/지역,주소,담임,전도인수,사진URL
237,"가평교회","대한민국","477-801 경기도 가평군 가평읍 가화로 192(읍내리 734번지)","김주석 담임목사",1,"https://file1.jbch.org/guide/237/237_2022010414472831979_k1235i.jpg"
63,"갈릴리수양관교회","대한민국","충남 공주시 정안면 대산리 771-4 ","정태교 담임목사",1,"https://file1.jbch.org/guide/63/63_2026042915332225985_whdrnr01.png"
71,"강릉교회","대한민국","강원도 강릉시 유산로 25번길 84(문암정마을)","김인호 담임목사",1,"https://file1.jbch.org/guide/71/71_2026042915354841346_whdrnr01.jpg"
151,"강진교회","대한민국","527-802 전라남도 강진군 강진읍 목리길 83 (목리 311-11번지)","황용선 담임목사",1,"https://file1.jbch.org/guide/151/151_2022110722525354181_rhcrka.jpg"
289,"강화교회","대한민국","인천광역시 강화군 강화읍 강화대로215번길 17-8 ","곽상근 담임목사",1,"https://file1.jbch.org/guide/289/289_2026042915422544466_whdrnr01.png"
43,"거제교회","대한민국","경남 거제시 사등면 지석2길33","이재우 담임목사",1,"https://file1.jbch.org/guide/43/43_2025112622140898378_ghodt1004.jpeg"
484,"거창교회","대한민국","경상남도 거창군 동동5길26번지","김송영 담임목사",1,"https://file1.jbch.org/guide/484/484_2026042915450211095_whdrnr01.png"
150,"경기광주교회","대한민국","경기도 광주시 순암로 106-39 (장지동 424-19)","박정빈 담임목사",2,"https://file1.jbch.org/guide/150/150_2022112813521559589_thefaith79.jpg"
478,"경기하남교회","대한민국","12937 경기도 하남시 하남대로934번길 16-1","김완주 담임목사",1,"https://file1.jbch.org/guide/478/478_2025052709192938268_chk792.jpg"
990,"경남고성교회","대한민국","경상남도 고성군 고성읍 중앙로 132","최원재 담임목사",1,"https://file1.jbch.org/guide/990/990_2023042902192181285_jungok.jpg"
699,"경산교회","대한민국","경상북도 경산시 원효로22길 14 (계양동 672-3)","박동호 담임목사",1,"https://file1.jbch.org/guide/699/699_2025121114185790357_dh8242.png"
45,"경주교회","대한민국","경상북도 경주시 유림로13번길 158-8 (용강동)","최훈일 담임목사",1,"https://file1.jbch.org/guide/45/45_2023032714153055672_cm9179.jpg"
212,"경주안강교회","대한민국","경상북도 경주시 안강읍 구부랑두림길 126-3","허형구 담임목사",1,"https://file1.jbch.org/guide/212/212_2024093008155720873_kimjinbae.jpg"
236,"계룡교회","대한민국","도로명주소 : 충남 계룡시 엄사면 번영8길 7-1 / 지번 :충남 계룡시 엄사면 엄사리 339-1","박정수 담임목사",1,"https://file1.jbch.org/guide/236/236_2026042915530064896_whdrnr01.png"
305,"고금교회","대한민국","전남 완도군 고금면 고금남로 15 (구 : 도남리 104)","송민석 담임목사",1,"https://file1.jbch.org/guide/305/305_2026042915563463724_whdrnr01.jpg"
975,"고성교회","대한민국","강원도 고성군 간성읍 보매기길 23-13","김남일 담임목사",1,"https://file1.jbch.org/guide/975/975_2024012409260846840_iym050124.jpg"
304,"고양교회","대한민국","경기도 고양시 덕양구 동헌로91-1(관산동)","박민호 담임목사",2,"https://file1.jbch.org/guide/304/304_2020123116564370472_jds754.jpg"
16,"고창교회","대한민국","56439 전북 고창군 고창읍 보릿골로 23 (덕산리 231)","노철환 담임목사",2,"https://file1.jbch.org/guide/16/16_2021012808492360933_gangga.jpg"
29,"고흥교회","대한민국","전남 고흥군 고흥읍 봉동주공길 40-5","류한길 담임목사",1,"https://file1.jbch.org/guide/29/29_2026042915584574031_whdrnr01.png"
23,"곡성교회","대한민국","57539 전남 곡성군 곡성읍 죽동 1길 20","고봉수 담임목사",1,"https://file1.jbch.org/guide/23/23_2018112905223115041_creature.jpg"
70,"공주교회","대한민국","충청남도 공주시 무령로 145 (교동 233-8번지)","민기학 담임목사",1,"https://file1.jbch.org/guide/70/70_2024041123275357309_maikway747.png"
322,"광명교회","대한민국","경기도 광명시 철산동 625-2번지 힐타운빌딩 4, 5층","박호경 담임목사",2,"https://file1.jbch.org/guide/322/322_2026042916144798591_whdrnr01.png"
36,"광양교회","대한민국","545-080 전남 광양시 금영로 93-24(광영동)","이성운 담임목사",2,"https://file1.jbch.org/guide/36/36_2026042916111298186_whdrnr01.jpg"
427,"광양서부교회","대한민국","광양시 광양읍 와룡3길 13-6 ","최재수 담임목사",1,"https://file1.jbch.org/guide/427/427_2023032722105070185_cofkdcofld.jpg"
17,"광주교회","대한민국","광주광역시 북구 설죽로355번길32-10 (매곡동, 광주교회)","이상민 담임목사",34,"https://file1.jbch.org/guide/17/17_2026022617161700968_mem452.jpg"
233,"광주남부교회","대한민국","우) 61742  광주광역시 남구 효덕로 295 (진월동 867-15)","김형갑 담임목사",3,"https://file1.jbch.org/guide/233/233_2024042421403981531_sunny0238.jpg"
428,"광주동부교회","대한민국","광주광역시 동구 남문로 693번길 19","최호일 담임목사",2,"https://file1.jbch.org/guide/428/428_2023021810254958597_ccw13541.jpg"
1128,"광주무등교회","대한민국","광주광역시 동구 무등로 412","김성길 담임목사",1,"https://file1.jbch.org/guide/1128/1128_2026022617374452794_whdrnr01.png"
264,"광주봉선교회","대한민국","광주광역시 남구 대남대로181번길 30(봉선동)","배현기 담임목사",5,"https://file1.jbch.org/guide/264/264_2021072120480945552_siva20.jpg"
248,"광주서부교회","대한민국","광주광역시 서구 금호운천길 55","이정국 담임목사",3,"https://file1.jbch.org/guide/248/248_2026051102072463596_levelupnew.jpg"
152,"광주송정교회","대한민국","광주광역시 광산구 사암로 131번길 19 (우산동 1476-1)","임승환 담임목사",3,"https://file1.jbch.org/guide/152/152_2018122022094714814_andao.jpg"
293,"광주수완교회","대한민국","광주광역시 광산구 왕버들로 167-1 (수완동)","임재춘 담임목사",5,"https://file1.jbch.org/guide/293/293_2026042916183686295_whdrnr01.jpg"
623,"광주중부교회","대한민국","광주 남구 회재로 1223번길 15 (광주 남구 주월동 979-1,2번지)","박형열 담임목사",1,"https://file1.jbch.org/guide/623/623_2018012115133470764_mimi.jpg"
622,"광주화정교회","대한민국","광주시 남구 군분로 131 (광주 남구 월산동 958-5)","김진서 담임목사",1,"https://file1.jbch.org/guide/622/622_2026042916240062844_whdrnr01.png"
142,"구례교회","대한민국","전남 구례군 구례읍 양정2길 29","현석권 담임목사",1,"https://file1.jbch.org/guide/142/142_2017080611580957932_ckskya725.jpg"
93,"구리교회","대한민국","경기도 구리시 경춘로276번길 11-9","채대석 담임목사",4,"https://file1.jbch.org/guide/93/93_2026042916262235219_whdrnr01.jpg"
51,"구미교회","대한민국","경북 구미시 고아읍 봉한1안길 10","김대중 담임목사",2,"https://file1.jbch.org/guide/51/51_2022012617482097675_min7936.jpg"
448,"구미남부교회","대한민국","39844 경북 칠곡군 석적읍 남율로2길 113 (남율리 1455)","송경원 담임목사",1,"https://file1.jbch.org/guide/448/448_2026042916343903420_whdrnr01.png"
15,"군산교회","대한민국","전북 군산시 사정동 528-1번지","이상연 담임목사",3,"https://file1.jbch.org/guide/15/15_2026042916433071794_whdrnr01.png"
64,"금산교회","대한민국","충남 금산군 금산읍 구름고개길 17","조국현 담임목사",1,"https://file1.jbch.org/guide/64/64_2026022019423101661_kjw63.jpg"
14,"김제교회","대한민국","전북 김제시 서암2길46","김웅 담임목사",1,"https://file1.jbch.org/guide/14/14_2019021415080399686_bjs9985.jpg"
219,"김천교회","대한민국","김천시 체육공원길 97-10 김천교회 ","오근진 담임목사",1,"https://file1.jbch.org/guide/219/219_2026030511365710338_racerokj.jpg"
115,"김포교회","대한민국","(우)22646 인천 서구 고산후로197번길 5","홍정삼 담임목사",4,"https://file1.jbch.org/guide/115/115_2018040513322180391_hjmcad.jpg"
598,"김포한강교회","대한민국","경기도 김포시 김포 한강8로 378, 웅신프라자 10층","오경연 담임목사",1,"https://file1.jbch.org/guide/598/598_2024112211214968984_lovetojy.jpg"
42,"김해교회","대한민국","경남 김해시 칠산로 387번길 24 (화목동 1052-17번지)","김현호 담임목사",2,"https://file1.jbch.org/guide/42/42_2022082916061010670_khmedia.jpg"
38,"나주교회","대한민국","전남 나주시 전력로 140","변종민 담임목사",1,"https://file1.jbch.org/guide/38/38_2023042715493326596_withoutU.jpg"
456,"남대전교회","대한민국","대전 중구 대종로 121번길 15 (옥계동)","조경수 담임목사",1,"https://file1.jbch.org/guide/456/456_2023122022205491938_yunsok.jpg"
224,"남양주동부교회","대한민국","경기도 남양주시 화도읍 경춘로2247번길 16-19","장권익 담임목사",2,""
683,"남양주별내교회","대한민국","경기도 남양주시 별내중앙로 26, 801호 (별내진영타워 8층)","김태식 담임목사",1,""
257,"남양주오남교회","대한민국","경기도 남양주시 오남읍 진건오남로550번길 9","김현진 담임목사",1,""
510,"남양주평내교회","대한민국","남양주시 경춘로 1256번길 9, 강남프라자 805호 (지번주소: 경기 남양주시 평내동 579-2)","조영팔 담임목사",1,"https://file1.jbch.org/guide/510/510_2025013020570946175_jerica.jpg"
13,"남원교회","대한민국","전북 남원시 불무터길 42 ","진세영 담임목사",1,"https://file1.jbch.org/guide/13/13_2023032720585655037_lets9044.jpg"
37,"노화교회","대한민국","전남 완도군 노화읍 노화로 823-1","박종문 담임목사",1,""
26,"녹동교회","대한민국","전라남도 고흥군 도양읍 비봉로 32","김영민 담임목사",1,""
66,"논산교회","대한민국","33001 - 충남 논산시 은진면 매죽헌로 40번길 19-9","박정웅 담임목사",1,"https://file1.jbch.org/guide/66/66_2019111917141289740_zini4.jpg"
